x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	2.571470	0.017091	0.071666	0.029341	-0.000356
0.048202	0.000818	2.756606	0.014903	0.052266	0.018557	-0.000314
0.048202	0.001227	2.957818	0.013081	0.036020	0.010166	-0.000214
0.048202	0.001636	3.155796	0.011813	0.026141	0.005519	-0.000098
0.048202	0.002045	3.332312	0.011079	0.021282	0.003422	-0.000005
0.048202	0.002454	3.475015	0.010704	0.019462	0.002653	0.000049
0.048202	0.002864	3.579653	0.010520	0.019054	0.002419	0.000068
0.048202	0.003273	3.649254	0.010369	0.019114	0.002350	0.000067
0.048202	0.003682	3.688429	0.010452	0.019235	0.002305	0.000056
0.048202	0.004091	3.703950	0.010288	0.019293	0.002272	0.000038
0.048202	0.004500	3.708166	0.010037	0.019288	0.002248	0.000020
0.048202	0.004909	3.708124	0.009759	0.019226	0.002226	0.000004
0.048202	0.005318	3.706782	0.009513	0.019151	0.002204	-0.000005
0.048202	0.005727	3.705145	0.009251	0.019085	0.002172	-0.000009
0.048202	0.006136	3.703483	0.008882	0.019010	0.002131	-0.000007
0.048202	0.006545	3.701877	0.008316	0.018922	0.002086	-0.000003
0.048202	0.006954	3.700343	0.007459	0.018816	0.002039	-0.000007
0.048202	0.007363	3.698881	0.006336	0.018692	0.001997	-0.000017
0.048202	0.007772	3.697542	0.004950	0.018561	0.001965	-0.000035
0.048202	0.008181	3.696359	0.003293	0.018438	0.001942	-0.000061
0.048202	0.008591	3.695283	0.001461	0.018328	0.001926	-0.000091
0.048202	0.009000	3.694279	-0.000513	0.018225	0.001917	-0.000117
0.048202	0.009409	3.693360	-0.002530	0.018128	0.001915	-0.000138
0.048202	0.009818	3.692466	-0.004563	0.018038	0.001925	-0.000152
0.048202	0.010227	3.691593	-0.006599	0.017948	0.001946	-0.000164
0.048202	0.010636	3.690688	-0.008622	0.017845	0.001975	-0.000175
0.048202	0.011045	3.689707	-0.010616	0.017720	0.002006	-0.000186
0.048202	0.011454	3.688671	-0.012575	0.017586	0.002027	-0.000198
0.048202	0.011863	3.687596	-0.014490	0.017443	0.002035	-0.000207
0.048202	0.012272	3.686518	-0.016394	0.017302	0.002037	-0.000210
0.048202	0.012681	3.685496	-0.018336	0.017168	0.002046	-0.000211
0.048202	0.013090	3.684517	-0.020349	0.017050	0.002074	-0.000213
0.048202	0.013499	3.683593	-0.022486	0.016951	0.002120	-0.000216
0.048202	0.013908	3.682736	-0.024823	0.016880	0.002176	-0.000223
0.048202	0.014318	3.681963	-0.027420	0.016839	0.002233	-0.000232
0.048202	0.014727	3.681252	-0.030310	0.016824	0.002288	-0.000245
0.048202	0.015136	3.680571	-0.033461	0.016826	0.002341	-0.000263
0.048202	0.015545	3.679881	-0.036788	0.016839	0.002394	-0.000288
0.048202	0.015954	3.679218	-0.040247	0.016855	0.002448	-0.000318
0.048202	0.016363	3.678611	-0.043763	0.016865	0.002502	-0.000347
0.048202	0.016772	3.678032	-0.047293	0.016863	0.002557	-0.000368
0.048202	0.017181	3.677479	-0.050779	0.016849	0.002617	-0.000382
0.048202	0.017590	3.676959	-0.054270	0.016831	0.002681	-0.000393
0.048202	0.017999	3.676492	-0.057855	0.016821	0.002752	-0.000404
0.048202	0.018408	3.676065	-0.061578	0.016825	0.002823	-0.000416
0.048202	0.018817	3.675622	-0.065500	0.016841	0.002896	-0.000428
0.048202	0.019226	3.675101	-0.069632	0.016870	0.002972	-0.000435
0.048202	0.019635	3.674536	-0.073936	0.016902	0.003042	-0.000438
0.048611	0.000409	2.564152	0.013199	0.068872	0.027342	-0.000255
0.048611	0.000818	2.750828	0.011808	0.050404	0.017298	-0.000250
0.048611	0.001227	2.953619	0.010763	0.034945	0.009490	-0.000183
0.048611	0.001636	3.153077	0.010176	0.025556	0.005173	-0.000086
0.048611	0.002045	3.330871	0.009985	0.020952	0.003230	-0.000004
0.048611	0.002454	3.474601	0.010016	0.019242	0.002520	0.000047
0.048611	0.002864	3.580020	0.010117	0.018875	0.002304	0.000066
0.048611	0.003273	3.650196	0.010152	0.018948	0.002240	0.000067
0.048611	0.003682	3.689700	0.010300	0.019076	0.002197	0.000056
0.048611	0.004091	3.705452	0.010167	0.019139	0.002166	0.000038
0.048611	0.004500	3.709847	0.009914	0.019137	0.002143	0.000020
0.048611	0.004909	3.709917	0.009614	0.019078	0.002123	0.000004
0.048611	0.005318	3.708641	0.009318	0.019006	0.002103	-0.000006
0.048611	0.005727	3.707022	0.008979	0.018942	0.002074	-0.000010
0.048611	0.006136	3.705341	0.008524	0.018870	0.002036	-0.000009
0.048611	0.006545	3.703682	0.007881	0.018786	0.001994	-0.000006
0.048611	0.006954	3.702080	0.006979	0.018685	0.001951	-0.000010
0.048611	0.007363	3.700550	0.005836	0.018567	0.001912	-0.000021
0.048611	0.007772	3.699159	0.004457	0.018443	0.001882	-0.000039
0.048611	0.008181	3.697942	0.002850	0.018328	0.001860	-0.000064
0.048611	0.008591	3.696850	0.001084	0.018224	0.001844	-0.000092
0.048611	0.009000	3.695861	-0.000829	0.018128	0.001834	-0.000118
0.048611	0.009409	3.694961	-0.002790	0.018037	0.001832	-0.000137
0.048611	0.009818	3.694094	-0.004784	0.017952	0.001841	-0.000150
0.048611	0.010227	3.693252	-0.006800	0.017867	0.001860	-0.000162
0.048611	0.010636	3.692387	-0.008822	0.017769	0.001888	-0.000172
0.048611	0.011045	3.691466	-0.010817	0.017651	0.001917	-0.000183
0.048611	0.011454	3.690502	-0.012772	0.017522	0.001938	-0.000195
0.048611	0.011863	3.689523	-0.014673	0.017385	0.001948	-0.000205
0.048611	0.012272	3.688559	-0.016553	0.017249	0.001953	-0.000209
0.048611	0.012681	3.687665	-0.018453	0.017121	0.001965	-0.000213
0.048611	0.013090	3.686821	-0.020421	0.017007	0.001993	-0.000215
