x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	1.767935	0.016640	0.018909	0.002843	0.000385
0.048202	0.000818	1.909301	0.017979	0.012703	0.002169	0.000256
0.048202	0.001227	2.059504	0.019606	0.007376	0.001554	0.000139
0.048202	0.001636	2.204297	0.021410	0.003988	0.001120	0.000059
0.048202	0.002045	2.331133	0.023230	0.002176	0.000847	0.000012
0.048202	0.002454	2.432171	0.024897	0.001363	0.000689	-0.000009
0.048202	0.002864	2.505409	0.026283	0.001057	0.000600	-0.000016
0.048202	0.003273	2.553682	0.027338	0.000962	0.000548	-0.000015
0.048202	0.003682	2.578900	0.028080	0.000939	0.000515	-0.000010
0.048202	0.004091	2.589367	0.028475	0.000937	0.000493	-0.000005
0.048202	0.004500	2.592456	0.028623	0.000945	0.000480	-0.000001
0.048202	0.004909	2.592536	0.028577	0.000959	0.000473	0.000001
0.048202	0.005318	2.591698	0.028381	0.000975	0.000469	0.000001
0.048202	0.005727	2.590664	0.028054	0.000992	0.000469	-0.000002
0.048202	0.006136	2.589573	0.027621	0.001010	0.000471	-0.000005
0.048202	0.006545	2.588390	0.027084	0.001028	0.000474	-0.000010
0.048202	0.006954	2.587103	0.026454	0.001048	0.000478	-0.000014
0.048202	0.007363	2.585692	0.025748	0.001069	0.000484	-0.000018
0.048202	0.007772	2.584239	0.024970	0.001090	0.000491	-0.000022
0.048202	0.008181	2.582806	0.024123	0.001111	0.000499	-0.000024
0.048202	0.008591	2.581516	0.023211	0.001133	0.000507	-0.000026
0.048202	0.009000	2.580475	0.022242	0.001156	0.000517	-0.000027
0.048202	0.009409	2.579685	0.021221	0.001181	0.000528	-0.000028
0.048202	0.009818	2.579097	0.020160	0.001208	0.000542	-0.000027
0.048202	0.010227	2.578646	0.019076	0.001237	0.000560	-0.000025
0.048202	0.010636	2.578218	0.017954	0.001269	0.000582	-0.000020
0.048202	0.011045	2.577792	0.016800	0.001301	0.000605	-0.000015
0.048202	0.011454	2.577342	0.015575	0.001332	0.000628	-0.000011
0.048202	0.011863	2.576813	0.014279	0.001356	0.000647	-0.000011
0.048202	0.012272	2.576201	0.012894	0.001377	0.000665	-0.000014
0.048202	0.012681	2.575514	0.011425	0.001397	0.000683	-0.000019
0.048202	0.013090	2.574801	0.009903	0.001422	0.000704	-0.000022
0.048202	0.013499	2.574128	0.008327	0.001455	0.000730	-0.000022
0.048202	0.013908	2.573462	0.006755	0.001496	0.000759	-0.000020
0.048202	0.014318	2.572899	0.005181	0.001542	0.000792	-0.000017
0.048202	0.014727	2.572490	0.003601	0.001585	0.000826	-0.000019
0.048202	0.015136	2.572261	0.002013	0.001621	0.000861	-0.000025
0.048202	0.015545	2.572205	0.000384	0.001648	0.000893	-0.000035
0.048202	0.015954	2.572285	-0.001293	0.001668	0.000925	-0.000046
0.048202	0.016363	2.572388	-0.003021	0.001687	0.000956	-0.000052
0.048202	0.016772	2.572474	-0.004775	0.001707	0.000988	-0.000052
0.048202	0.017181	2.572522	-0.006591	0.001729	0.001020	-0.000047
0.048202	0.017590	2.572437	-0.008459	0.001750	0.001054	-0.000037
0.048202	0.017999	2.572291	-0.010385	0.001767	0.001091	-0.000026
0.048202	0.018408	2.572075	-0.012394	0.001778	0.001133	-0.000013
0.048202	0.018817	2.571875	-0.014490	0.001788	0.001176	-0.000002
0.048202	0.019226	2.571723	-0.016693	0.001798	0.001218	0.000008
0.048202	0.019635	2.571592	-0.018924	0.001818	0.001259	0.000015
0.048611	0.000409	1.780917	0.016481	0.018680	0.002667	0.000392
0.048611	0.000818	1.918843	0.017619	0.012528	0.002040	0.000257
0.048611	0.001227	2.065920	0.019056	0.007255	0.001467	0.000136
0.048611	0.001636	2.208235	0.020697	0.003908	0.001062	0.000055
0.048611	0.002045	2.333386	0.022392	0.002122	0.000808	0.000010
0.048611	0.002454	2.433495	0.023970	0.001325	0.000660	-0.000011
0.048611	0.002864	2.506395	0.025301	0.001027	0.000576	-0.000016
0.048611	0.003273	2.554703	0.026325	0.000936	0.000527	-0.000014
0.048611	0.003682	2.580397	0.027068	0.000914	0.000495	-0.000009
0.048611	0.004091	2.591239	0.027474	0.000912	0.000475	-0.000004
0.048611	0.004500	2.594587	0.027645	0.000919	0.000462	-0.000000
0.048611	0.004909	2.594818	0.027632	0.000931	0.000455	0.000001
0.048611	0.005318	2.594050	0.027478	0.000945	0.000452	0.000001
0.048611	0.005727	2.593025	0.027201	0.000961	0.000452	-0.000001
0.048611	0.006136	2.591930	0.026821	0.000977	0.000453	-0.000005
0.048611	0.006545	2.590760	0.026334	0.000994	0.000456	-0.000008
0.048611	0.006954	2.589519	0.025750	0.001012	0.000460	-0.000012
0.048611	0.007363	2.588202	0.025080	0.001030	0.000466	-0.000016
0.048611	0.007772	2.586880	0.024331	0.001049	0.000472	-0.000019
0.048611	0.008181	2.585601	0.023507	0.001068	0.000480	-0.000022
0.048611	0.008591	2.584459	0.022612	0.001088	0.000489	-0.000023
0.048611	0.009000	2.583526	0.021660	0.001108	0.000497	-0.000025
0.048611	0.009409	2.582800	0.020652	0.001131	0.000508	-0.000025
0.048611	0.009818	2.582230	0.019602	0.001155	0.000521	-0.000025
0.048611	0.010227	2.581759	0.018532	0.001181	0.000538	-0.000023
0.048611	0.010636	2.581296	0.017423	0.001209	0.000559	-0.000019
0.048611	0.011045	2.580818	0.016286	0.001238	0.000581	-0.000014
0.048611	0.011454	2.580301	0.015083	0.001265	0.000603	-0.000011
0.048611	0.011863	2.579715	0.013815	0.001287	0.000622	-0.000010
0.048611	0.012272	2.579060	0.012463	0.001305	0.000639	-0.000013
0.048611	0.012681	2.578362	0.011031	0.001323	0.000657	-0.000018
0.048611	0.013090	2.577660	0.009549	0.001346	0.000679	-0.000020
0.048611	0.013499	2.577010	0.008012	0.001376	0.000704	-0.000020
0.048611	0.013908	2.576391	0.006479	0.001414	0.000733	-0.000018
0.048611	0.014318	2.575867	0.004942	0.001456	0.000765	-0.000015
0.048611	0.014727	2.575472	0.003401	0.001497	0.000798	-0.000016
0.048611	0.015136	2.575220	0.001854	0.001531	0.000830	-0.000023
0.048611	0.015545	2.575100	0.000267	0.001555	0.000862	-0.000032
0.048611	0.015954	2.575081	-0.001361	0.001575	0.000893	-0.000042
0.048611	0.016363	2.575081	-0.003046	0.001592	0.000923	-0.000048
0.048611	0.016772	2.575072	-0.004764	0.001611	0.000954	-0.000048
0.048611	0.017181	2.575043	-0.006554	0.001632	0.000985	-0.000042
0.048611	0.017590	2.574926	-0.008407	0.001651	0.001019	-0.000034
0.048611	0.017999	2.574771	-0.010326	0.001668	0.001057	-0.000023
0.048611	0.018408	2.574572	-0.012335	0.001679	0.001098	-0.000012
0.048611	0.018817	2.574389	-0.014430	0.001688	0.001140	-0.000001
0.048611	0.019226	2.574242	-0.016625	0.001699	0.001182	0.000007
0.048611	0.019635	2.574111	-0.018833	0.001717	0.001222	0.000013
0.049020	0.000409	1.793302	0.016209	0.018460	0.002484	0.000400
0.049020	0.000818	1.927836	0.017150	0.012358	0.001906	0.000259
0.049020	0.001227	2.071848	0.018401	0.007134	0.001377	0.000134
0.049020	0.001636	2.211753	0.019882	0.003826	0.001003	0.000052
0.049020	0.002045	2.335288	0.021457	0.002068	0.000767	0.000007
0.049020	0.002454	2.434532	0.022953	0.001286	0.000630	-0.000012
0.049020	0.002864	2.507146	0.024235	0.000997	0.000551	-0.000016
0.049020	0.003273	2.555525	0.025239	0.000910	0.000505	-0.000013
0.049020	0.003682	2.581717	0.025992	0.000889	0.000475	-0.000008
0.049020	0.004091	2.592947	0.026416	0.000886	0.000456	-0.000004
0.049020	0.004500	2.596562	0.026613	0.000892	0.000444	-0.000000
0.049020	0.004909	2.596957	0.026633	0.000902	0.000437	0.000002
0.049020	0.005318	2.596273	0.026519	0.000915	0.000434	0.000001
0.049020	0.005727	2.595278	0.026286	0.000929	0.000434	-0.000001
0.049020	0.006136	2.594195	0.025952	0.000944	0.000436	-0.000004
0.049020	0.006545	2.593049	0.025512	0.000959	0.000438	-0.000007
0.049020	0.006954	2.591857	0.024973	0.000975	0.000442	-0.000011
0.049020	0.007363	2.590627	0.024342	0.000991	0.000447	-0.000014
0.049020	0.007772	2.589420	0.023629	0.001008	0.000454	-0.000017
0.049020	0.008181	2.588278	0.022838	0.001024	0.000461	-0.000019
0.049020	0.008591	2.587268	0.021970	0.001041	0.000469	-0.000021
0.049020	0.009000	2.586436	0.021043	0.001059	0.000477	-0.000022
0.049020	0.009409	2.585774	0.020057	0.001079	0.000487	-0.000023
0.049020	0.009818	2.585232	0.019026	0.001101	0.000499	-0.000023
0.049020	0.010227	2.584757	0.017974	0.001124	0.000515	-0.000021
0.049020	0.010636	2.584278	0.016882	0.001149	0.000535	-0.000017
0.049020	0.011045	2.583769	0.015764	0.001174	0.000557	-0.000013
0.049020	0.011454	2.583209	0.014584	0.001197	0.000577	-0.000010
0.049020	0.011863	2.582583	0.013343	0.001216	0.000596	-0.000010
0.049020	0.012272	2.581902	0.012025	0.001232	0.000613	-0.000012
0.049020	0.012681	2.581204	0.010630	0.001248	0.000631	-0.000016
0.049020	0.013090	2.580520	0.009188	0.001268	0.000652	-0.000019
0.049020	0.013499	2.579897	0.007694	0.001296	0.000677	-0.000018
0.049020	0.013908	2.579329	0.006203	0.001331	0.000705	-0.000016
