x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	0.723888	0.020554	0.004913	0.001052	-0.000337
0.048202	0.000818	0.814120	0.019028	0.003525	0.000811	-0.000231
0.048202	0.001227	0.913295	0.017921	0.002370	0.000601	-0.000142
0.048202	0.001636	1.013219	0.017384	0.001673	0.000462	-0.000088
0.048202	0.002045	1.105886	0.017434	0.001330	0.000379	-0.000061
0.048202	0.002454	1.185202	0.017935	0.001194	0.000331	-0.000049
0.048202	0.002864	1.248110	0.018695	0.001153	0.000304	-0.000044
0.048202	0.003273	1.294445	0.019528	0.001145	0.000289	-0.000040
0.048202	0.003682	1.323939	0.020487	0.001144	0.000281	-0.000035
0.048202	0.004091	1.341279	0.021209	0.001147	0.000278	-0.000030
0.048202	0.004500	1.350529	0.021733	0.001154	0.000280	-0.000025
0.048202	0.004909	1.354810	0.022106	0.001166	0.000285	-0.000020
0.048202	0.005318	1.356295	0.022336	0.001180	0.000290	-0.000018
0.048202	0.005727	1.356424	0.022443	0.001193	0.000295	-0.000017
0.048202	0.006136	1.355983	0.022439	0.001204	0.000299	-0.000018
0.048202	0.006545	1.355272	0.022314	0.001214	0.000302	-0.000020
0.048202	0.006954	1.354381	0.022106	0.001222	0.000305	-0.000022
0.048202	0.007363	1.353335	0.021840	0.001229	0.000307	-0.000025
0.048202	0.007772	1.352214	0.021535	0.001235	0.000311	-0.000028
0.048202	0.008181	1.351062	0.021218	0.001240	0.000316	-0.000032
0.048202	0.008591	1.349992	0.020893	0.001243	0.000322	-0.000036
0.048202	0.009000	1.349157	0.020549	0.001246	0.000329	-0.000040
0.048202	0.009409	1.348504	0.020190	0.001249	0.000335	-0.000042
0.048202	0.009818	1.348012	0.019785	0.001254	0.000343	-0.000043
0.048202	0.010227	1.347669	0.019333	0.001263	0.000350	-0.000042
0.048202	0.010636	1.347311	0.018831	0.001277	0.000359	-0.000040
0.048202	0.011045	1.346911	0.018280	0.001295	0.000368	-0.000039
0.048202	0.011454	1.346519	0.017688	0.001314	0.000376	-0.000039
0.048202	0.011863	1.346142	0.017058	0.001330	0.000384	-0.000041
0.048202	0.012272	1.345795	0.016399	0.001343	0.000391	-0.000043
0.048202	0.012681	1.345527	0.015680	0.001351	0.000399	-0.000046
0.048202	0.013090	1.345368	0.014932	0.001357	0.000408	-0.000049
0.048202	0.013499	1.345317	0.014143	0.001361	0.000419	-0.000052
0.048202	0.013908	1.345328	0.013332	0.001365	0.000432	-0.000054
0.048202	0.014318	1.345374	0.012488	0.001372	0.000448	-0.000055
