x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	2.094423	0.020136	0.044796	0.028680	-0.000305
0.048202	0.000818	2.279033	0.017013	0.030453	0.018105	-0.000257
0.048202	0.001227	2.481211	0.014302	0.018464	0.009862	-0.000175
0.048202	0.001636	2.681880	0.012290	0.011094	0.005285	-0.000097
0.048202	0.002045	2.862564	0.011049	0.007264	0.003212	-0.000046
0.048202	0.002454	3.010280	0.010424	0.005534	0.002446	-0.000025
0.048202	0.002864	3.119969	0.010235	0.004785	0.002209	-0.000024
0.048202	0.003273	3.194016	0.010302	0.004411	0.002137	-0.000032
0.048202	0.003682	3.236742	0.010772	0.004151	0.002088	-0.000043
0.048202	0.004091	3.255252	0.011108	0.003959	0.002052	-0.000055
0.048202	0.004500	3.261122	0.011325	0.003835	0.002026	-0.000064
0.048202	0.004909	3.261951	0.011460	0.003777	0.002003	-0.000068
0.048202	0.005318	3.261238	0.011538	0.003767	0.001982	-0.000066
0.048202	0.005727	3.260082	0.011503	0.003794	0.001959	-0.000054
0.048202	0.006136	3.258772	0.011264	0.003834	0.001931	-0.000039
0.048202	0.006545	3.257319	0.010798	0.003869	0.001898	-0.000022
0.048202	0.006954	3.255737	0.010065	0.003889	0.001865	-0.000011
0.048202	0.007363	3.254047	0.009108	0.003894	0.001835	-0.000005
0.048202	0.007772	3.252280	0.007974	0.003876	0.001812	-0.000001
0.048202	0.008181	3.250510	0.006611	0.003846	0.001794	0.000002
0.048202	0.008591	3.248769	0.005074	0.003815	0.001779	0.000009
0.048202	0.009000	3.247071	0.003406	0.003783	0.001766	0.000023
0.048202	0.009409	3.245464	0.001597	0.003758	0.001756	0.000039
0.048202	0.009818	3.243935	-0.000299	0.003744	0.001754	0.000053
0.048202	0.010227	3.242375	-0.002241	0.003742	0.001762	0.000062
0.048202	0.010636	3.240696	-0.004225	0.003750	0.001782	0.000064
0.048202	0.011045	3.238847	-0.006180	0.003764	0.001811	0.000064
0.048202	0.011454	3.236782	-0.008065	0.003787	0.001839	0.000064
0.048202	0.011863	3.234548	-0.009914	0.003813	0.001862	0.000068
0.048202	0.012272	3.232196	-0.011741	0.003846	0.001883	0.000074
0.048202	0.012681	3.229866	-0.013567	0.003886	0.001905	0.000078
0.048202	0.013090	3.227647	-0.015435	0.003932	0.001934	0.000076
0.048202	0.013499	3.225599	-0.017379	0.003974	0.001969	0.000066
0.048202	0.013908	3.223697	-0.019498	0.004011	0.002007	0.000052
0.048202	0.014318	3.222018	-0.021849	0.004041	0.002045	0.000039
0.048202	0.014727	3.220500	-0.024427	0.004066	0.002083	0.000030
0.048202	0.015136	3.219064	-0.027251	0.004088	0.002126	0.000025
0.048202	0.015545	3.217681	-0.030267	0.004115	0.002176	0.000021
0.048202	0.015954	3.216395	-0.033405	0.004142	0.002231	0.000014
0.048202	0.016363	3.215258	-0.036602	0.004164	0.002288	0.000009
0.048202	0.016772	3.214325	-0.039790	0.004181	0.002341	0.000007
0.048202	0.017181	3.213589	-0.042866	0.004189	0.002392	0.000012
0.048202	0.017590	3.213054	-0.045853	0.004195	0.002444	0.000018
0.048202	0.017999	3.212686	-0.048828	0.004206	0.002498	0.000026
0.048202	0.018408	3.212458	-0.051792	0.004224	0.002554	0.000034
0.048202	0.018817	3.212248	-0.054816	0.004253	0.002613	0.000043
0.048202	0.019226	3.211938	-0.057916	0.004290	0.002677	0.000049
0.048202	0.019635	3.211478	-0.061105	0.004325	0.002735	0.000049
0.048611	0.000409	2.087821	0.017166	0.042758	0.026745	-0.000247
0.048611	0.000818	2.273620	0.014628	0.029096	0.016888	-0.000218
0.048611	0.001227	2.477037	0.012494	0.017674	0.009213	-0.000153
0.048611	0.001636	2.678898	0.010991	0.010653	0.004957	-0.000087
0.048611	0.002045	2.860640	0.010163	0.007004	0.003034	-0.000042
0.048611	0.002454	3.009233	0.009848	0.005354	0.002325	-0.000025
0.048611	0.002864	3.119613	0.009888	0.004638	0.002106	-0.000025
0.048611	0.003273	3.194175	0.010113	0.004280	0.002038	-0.000033
0.048611	0.003682	3.237199	0.010657	0.004032	0.001990	-0.000042
0.048611	0.004091	3.255922	0.011027	0.003849	0.001956	-0.000053
0.048611	0.004500	3.261949	0.011244	0.003731	0.001930	-0.000061
0.048611	0.004909	3.262867	0.011351	0.003677	0.001909	-0.000065
0.048611	0.005318	3.262205	0.011367	0.003669	0.001891	-0.000063
0.048611	0.005727	3.261085	0.011241	0.003695	0.001870	-0.000053
0.048611	0.006136	3.259807	0.010902	0.003733	0.001844	-0.000039
0.048611	0.006545	3.258386	0.010332	0.003766	0.001815	-0.000024
0.048611	0.006954	3.256841	0.009523	0.003787	0.001784	-0.000013
0.048611	0.007363	3.255205	0.008515	0.003792	0.001757	-0.000007
0.048611	0.007772	3.253516	0.007358	0.003776	0.001735	-0.000003
0.048611	0.008181	3.251838	0.006016	0.003749	0.001718	0.000002
0.048611	0.008591	3.250202	0.004533	0.003720	0.001703	0.000009
0.048611	0.009000	3.248629	0.002931	0.003691	0.001690	0.000021
0.048611	0.009409	3.247134	0.001203	0.003666	0.001680	0.000036
0.048611	0.009818	3.245705	-0.000610	0.003651	0.001677	0.000050
0.048611	0.010227	3.244248	-0.002475	0.003648	0.001685	0.000058
0.048611	0.010636	3.242677	-0.004392	0.003655	0.001703	0.000060
0.048611	0.011045	3.240937	-0.006290	0.003668	0.001730	0.000061
0.048611	0.011454	3.238991	-0.008130	0.003689	0.001757	0.000062
0.048611	0.011863	3.236892	-0.009939	0.003713	0.001780	0.000066
0.048611	0.012272	3.234689	-0.011740	0.003744	0.001801	0.000070
0.048611	0.012681	3.232512	-0.013546	0.003782	0.001825	0.000073
0.048611	0.013090	3.230437	-0.015402	0.003826	0.001854	0.000070
0.048611	0.013499	3.228522	-0.017355	0.003868	0.001889	0.000061
0.048611	0.013908	3.226747	-0.019481	0.003904	0.001927	0.000047
0.048611	0.014318	3.225169	-0.021833	0.003935	0.001964	0.000034
0.048611	0.014727	3.223732	-0.024412	0.003960	0.002001	0.000026
0.048611	0.015136	3.222352	-0.027225	0.003982	0.002041	0.000022
0.048611	0.015545	3.220998	-0.030226	0.004007	0.002088	0.000019
0.048611	0.015954	3.219713	-0.033346	0.004033	0.002141	0.000014
0.048611	0.016363	3.218547	-0.036535	0.004055	0.002196	0.000009
0.048611	0.016772	3.217539	-0.039720	0.004072	0.002248	0.000009
0.048611	0.017181	3.216695	-0.042816	0.004082	0.002301	0.000014
0.048611	0.017590	3.216024	-0.045836	0.004090	0.002353	0.000021
0.048611	0.017999	3.215506	-0.048849	0.004103	0.002408	0.000028
0.048611	0.018408	3.215119	-0.051849	0.004123	0.002464	0.000035
0.048611	0.018817	3.214771	-0.054896	0.004154	0.002524	0.000042
0.048611	0.019226	3.214355	-0.057991	0.004192	0.002587	0.000046
0.048611	0.019635	3.213832	-0.061151	0.004227	0.002645	0.000045
0.049020	0.000409	2.082047	0.014783	0.040661	0.024741	-0.000193
0.049020	0.000818	2.268764	0.012675	0.027701	0.015628	-0.000182
0.049020	0.001227	2.473165	0.010968	0.016865	0.008541	-0.000134
0.049020	0.001636	2.676009	0.009847	0.010202	0.004619	-0.000078
0.049020	0.002045	2.858658	0.009330	0.006739	0.002851	-0.000040
0.049020	0.002454	3.008039	0.009254	0.005171	0.002201	-0.000025
0.049020	0.002864	3.119072	0.009469	0.004489	0.002001	-0.000025
0.049020	0.003273	3.194139	0.009814	0.004146	0.001937	-0.000033
0.049020	0.003682	3.237482	0.010411	0.003910	0.001890	-0.000041
0.049020	0.004091	3.256439	0.010801	0.003736	0.001856	-0.000050
0.049020	0.004500	3.262639	0.011011	0.003625	0.001832	-0.000058
0.049020	0.004909	3.263658	0.011088	0.003576	0.001813	-0.000062
0.049020	0.005318	3.263054	0.011045	0.003569	0.001797	-0.000060
0.049020	0.005727	3.261976	0.010837	0.003593	0.001779	-0.000052
0.049020	0.006136	3.260735	0.010407	0.003630	0.001756	-0.000039
0.049020	0.006545	3.259351	0.009742	0.003661	0.001730	-0.000026
0.049020	0.006954	3.257853	0.008864	0.003681	0.001701	-0.000015
0.049020	0.007363	3.256286	0.007811	0.003687	0.001676	-0.000008
0.049020	0.007772	3.254689	0.006636	0.003673	0.001656	-0.000004
0.049020	0.008181	3.253120	0.005318	0.003650	0.001640	0.000001
0.049020	0.008591	3.251610	0.003896	0.003623	0.001625	0.000008
0.049020	0.009000	3.250183	0.002369	0.003596	0.001612	0.000020
0.049020	0.009409	3.248831	0.000733	0.003572	0.001602	0.000034
0.049020	0.009818	3.247539	-0.000990	0.003557	0.001599	0.000046
0.049020	0.010227	3.246225	-0.002772	0.003553	0.001605	0.000054
0.049020	0.010636	3.244809	-0.004619	0.003558	0.001622	0.000057
0.049020	0.011045	3.243227	-0.006463	0.003569	0.001647	0.000058
0.049020	0.011454	3.241449	-0.008263	0.003588	0.001673	0.000059
0.049020	0.011863	3.239529	-0.010037	0.003610	0.001696	0.000063
0.049020	0.012272	3.237511	-0.011815	0.003639	0.001718	0.000067
0.049020	0.012681	3.235517	-0.013599	0.003675	0.001742	0.000069
0.049020	0.013090	3.233611	-0.015439	0.003717	0.001772	0.000065
0.049020	0.013499	3.231847	-0.017391	0.003758	0.001808	0.000055
0.049020	0.013908	3.230211	-0.019521	0.003794	0.001844	0.000041
0.049020	0.014318	3.228740	-0.021872	0.003825	0.001880	0.000029
