x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	1.515130	0.022032	0.020145	0.002816	-0.000306
0.048202	0.000818	1.649472	0.021471	0.014000	0.002252	-0.000259
0.048202	0.001227	1.792990	0.021270	0.008655	0.001726	-0.000207
0.048202	0.001636	1.932356	0.021453	0.005162	0.001337	-0.000160
0.048202	0.002045	2.055683	0.021940	0.003197	0.001074	-0.000119
0.048202	0.002454	2.155137	0.022554	0.002234	0.000908	-0.000086
0.048202	0.002864	2.228397	0.023114	0.001813	0.000813	-0.000057
0.048202	0.003273	2.277709	0.023495	0.001647	0.000768	-0.000032
0.048202	0.003682	2.304563	0.023794	0.001587	0.000756	-0.000014
0.048202	0.004091	2.316981	0.023744	0.001573	0.000766	-0.000001
0.048202	0.004500	2.321873	0.023469	0.001586	0.000787	0.000006
0.048202	0.004909	2.323462	0.023040	0.001610	0.000814	0.000008
0.048202	0.005318	2.323890	0.022538	0.001635	0.000841	0.000007
0.048202	0.005727	2.324066	0.021978	0.001653	0.000867	0.000003
0.048202	0.006136	2.323972	0.021367	0.001663	0.000891	-0.000002
0.048202	0.006545	2.323576	0.020698	0.001665	0.000913	-0.000007
0.048202	0.006954	2.322725	0.019988	0.001665	0.000933	-0.000010
0.048202	0.007363	2.321326	0.019217	0.001669	0.000950	-0.000011
0.048202	0.007772	2.319590	0.018392	0.001679	0.000966	-0.000011
0.048202	0.008181	2.317604	0.017530	0.001699	0.000978	-0.000009
0.048202	0.008591	2.315674	0.016602	0.001723	0.000989	-0.000008
0.048202	0.009000	2.314106	0.015583	0.001749	0.000998	-0.000007
0.048202	0.009409	2.312928	0.014476	0.001774	0.001005	-0.000006
0.048202	0.009818	2.312114	0.013265	0.001797	0.001014	-0.000004
0.048202	0.010227	2.311595	0.011988	0.001818	0.001027	-0.000001
0.048202	0.010636	2.311187	0.010644	0.001840	0.001047	0.000001
0.048202	0.011045	2.310817	0.009255	0.001867	0.001075	0.000005
0.048202	0.011454	2.310469	0.007858	0.001899	0.001109	0.000007
0.048202	0.011863	2.310026	0.006469	0.001933	0.001149	0.000007
0.048202	0.012272	2.309504	0.005124	0.001971	0.001192	0.000003
0.048202	0.012681	2.308910	0.003826	0.002012	0.001236	-0.000004
0.048202	0.013090	2.308314	0.002560	0.002055	0.001279	-0.000012
0.048202	0.013499	2.307810	0.001280	0.002104	0.001318	-0.000021
0.048202	0.013908	2.307316	-0.000010	0.002155	0.001354	-0.000028
0.048202	0.014318	2.306926	-0.001376	0.002207	0.001387	-0.000031
0.048202	0.014727	2.306718	-0.002822	0.002258	0.001421	-0.000032
0.048202	0.015136	2.306671	-0.004370	0.002302	0.001459	-0.000028
0.048202	0.015545	2.306810	-0.006041	0.002347	0.001503	-0.000021
0.048202	0.015954	2.307094	-0.007831	0.002391	0.001553	-0.000013
0.048202	0.016363	2.307363	-0.009682	0.002436	0.001606	-0.000004
0.048202	0.016772	2.307610	-0.011579	0.002479	0.001659	0.000004
0.048202	0.017181	2.307848	-0.013496	0.002515	0.001709	0.000012
0.048202	0.017590	2.307955	-0.015431	0.002543	0.001754	0.000020
0.048202	0.017999	2.308051	-0.017368	0.002563	0.001798	0.000027
0.048202	0.018408	2.308145	-0.019320	0.002578	0.001842	0.000034
0.048202	0.018817	2.308348	-0.021275	0.002592	0.001884	0.000042
0.048202	0.019226	2.308726	-0.023238	0.002608	0.001926	0.000051
0.048202	0.019635	2.309207	-0.025140	0.002637	0.001971	0.000062
0.048611	0.000409	1.531226	0.022146	0.019590	0.002603	-0.000265
0.048611	0.000818	1.661413	0.021404	0.013584	0.002088	-0.000233
0.048611	0.001227	1.801147	0.021018	0.008362	0.001606	-0.000195
0.048611	0.001636	1.937502	0.021035	0.004952	0.001250	-0.000156
0.048611	0.002045	2.058755	0.021385	0.003039	0.001008	-0.000121
0.048611	0.002454	2.157051	0.021896	0.002106	0.000858	-0.000088
0.048611	0.002864	2.229853	0.022394	0.001702	0.000772	-0.000058
0.048611	0.003273	2.279138	0.022747	0.001545	0.000733	-0.000032
0.048611	0.003682	2.306461	0.023053	0.001490	0.000725	-0.000012
0.048611	0.004091	2.319212	0.023024	0.001476	0.000737	0.000002
0.048611	0.004500	2.324240	0.022783	0.001487	0.000760	0.000010
0.048611	0.004909	2.325800	0.022394	0.001508	0.000787	0.000012
0.048611	0.005318	2.326092	0.021930	0.001529	0.000814	0.000011
0.048611	0.005727	2.326057	0.021407	0.001546	0.000840	0.000008
0.048611	0.006136	2.325783	0.020824	0.001554	0.000863	0.000003
0.048611	0.006545	2.325273	0.020181	0.001556	0.000885	-0.000001
0.048611	0.006954	2.324418	0.019486	0.001556	0.000905	-0.000004
0.048611	0.007363	2.323152	0.018722	0.001560	0.000922	-0.000005
0.048611	0.007772	2.321634	0.017900	0.001570	0.000937	-0.000004
0.048611	0.008181	2.319933	0.017030	0.001588	0.000950	-0.000003
0.048611	0.008591	2.318281	0.016093	0.001610	0.000960	-0.000002
0.048611	0.009000	2.316914	0.015067	0.001633	0.000969	-0.000001
0.048611	0.009409	2.315851	0.013954	0.001656	0.000976	-0.000000
0.048611	0.009818	2.315070	0.012741	0.001676	0.000985	0.000001
0.048611	0.010227	2.314518	0.011468	0.001696	0.000998	0.000003
0.048611	0.010636	2.314053	0.010136	0.001717	0.001017	0.000006
0.048611	0.011045	2.313618	0.008765	0.001742	0.001043	0.000008
0.048611	0.011454	2.313198	0.007392	0.001770	0.001076	0.000010
0.048611	0.011863	2.312703	0.006027	0.001801	0.001115	0.000010
0.048611	0.012272	2.312146	0.004708	0.001834	0.001156	0.000007
0.048611	0.012681	2.311531	0.003438	0.001871	0.001199	0.000000
0.048611	0.013090	2.310917	0.002200	0.001910	0.001241	-0.000008
0.048611	0.013499	2.310371	0.000946	0.001953	0.001279	-0.000016
0.048611	0.013908	2.309835	-0.000320	0.002000	0.001313	-0.000021
0.048611	0.014318	2.309384	-0.001665	0.002047	0.001345	-0.000024
0.048611	0.014727	2.309084	-0.003090	0.002094	0.001377	-0.000024
