x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	3.866486	0.057892	0.107319	0.016673	-0.002700
0.048202	0.000818	4.052509	0.053101	0.073333	0.012753	-0.002043
0.048202	0.001227	4.246828	0.049070	0.043720	0.009166	-0.001407
0.048202	0.001636	4.430247	0.046274	0.024467	0.006634	-0.000913
0.048202	0.002045	4.586697	0.044867	0.013884	0.005064	-0.000560
0.048202	0.002454	4.707307	0.044692	0.008992	0.004212	-0.000325
0.048202	0.002864	4.791194	0.045412	0.007115	0.003820	-0.000174
0.048202	0.003273	4.843597	0.046573	0.006549	0.003692	-0.000078
0.048202	0.003682	4.867713	0.048306	0.006445	0.003700	-0.000015
0.048202	0.004091	4.874226	0.049686	0.006484	0.003770	0.000031
0.048202	0.004500	4.873569	0.050784	0.006572	0.003865	0.000067
0.048202	0.004909	4.870844	0.051662	0.006667	0.003964	0.000094
0.048202	0.005318	4.867696	0.052441	0.006752	0.004062	0.000108
0.048202	0.005727	4.864560	0.053085	0.006822	0.004155	0.000109
0.048202	0.006136	4.861562	0.053607	0.006886	0.004243	0.000099
0.048202	0.006545	4.858680	0.054014	0.006953	0.004323	0.000084
0.048202	0.006954	4.855879	0.054280	0.007031	0.004393	0.000071
0.048202	0.007363	4.853152	0.054368	0.007118	0.004458	0.000061
0.048202	0.007772	4.850358	0.054191	0.007211	0.004519	0.000057
0.048202	0.008181	4.847571	0.053751	0.007307	0.004580	0.000055
0.048202	0.008591	4.844835	0.053084	0.007413	0.004640	0.000052
0.048202	0.009000	4.842228	0.052235	0.007525	0.004701	0.000048
0.048202	0.009409	4.839859	0.051284	0.007649	0.004768	0.000040
0.048202	0.009818	4.837795	0.050281	0.007775	0.004847	0.000027
0.048202	0.010227	4.836044	0.049238	0.007910	0.004941	0.000009
0.048202	0.010636	4.834600	0.048172	0.008050	0.005047	-0.000011
0.048202	0.011045	4.833365	0.047079	0.008197	0.005160	-0.000028
0.048202	0.011454	4.832237	0.045889	0.008359	0.005276	-0.000036
0.048202	0.011863	4.831101	0.044543	0.008550	0.005396	-0.000033
0.048202	0.012272	4.829866	0.043033	0.008772	0.005530	-0.000022
0.048202	0.012681	4.828585	0.041346	0.009018	0.005685	-0.000015
0.048202	0.013090	4.827364	0.039475	0.009261	0.005867	-0.000018
0.048202	0.013499	4.826212	0.037438	0.009491	0.006076	-0.000033
0.048202	0.013908	4.825236	0.035269	0.009698	0.006304	-0.000054
0.048202	0.014318	4.824465	0.032871	0.009876	0.006530	-0.000073
0.048202	0.014727	4.823931	0.030274	0.010022	0.006727	-0.000080
0.048202	0.015136	4.823559	0.027486	0.010131	0.006875	-0.000076
0.048202	0.015545	4.823281	0.024527	0.010211	0.006984	-0.000065
0.048202	0.015954	4.823022	0.021409	0.010278	0.007086	-0.000051
0.048202	0.016363	4.822782	0.018313	0.010356	0.007221	-0.000038
0.048202	0.016772	4.822474	0.015288	0.010464	0.007393	-0.000014
0.048202	0.017181	4.822125	0.012441	0.010596	0.007582	0.000026
0.048202	0.017590	4.821747	0.009780	0.010745	0.007756	0.000081
0.048202	0.017999	4.821392	0.007328	0.010888	0.007896	0.000137
0.048202	0.018408	4.821041	0.004963	0.011027	0.008008	0.000178
0.048202	0.018817	4.820727	0.002540	0.011153	0.008107	0.000198
0.048202	0.019226	4.820491	-0.000066	0.011279	0.008217	0.000199
0.048202	0.019635	4.820394	-0.002854	0.011442	0.008367	0.000194
0.048611	0.000409	3.905664	0.054441	0.101122	0.015469	-0.002430
0.048611	0.000818	4.082464	0.050001	0.069146	0.011869	-0.001858
0.048611	0.001227	4.268161	0.046320	0.041281	0.008568	-0.001299
0.048611	0.001636	4.444393	0.043844	0.023159	0.006233	-0.000858
0.048611	0.002045	4.595526	0.042708	0.013195	0.004785	-0.000537
0.048611	0.002454	4.712649	0.042747	0.008587	0.004000	-0.000316
0.048611	0.002864	4.794530	0.043632	0.006817	0.003643	-0.000170
0.048611	0.003273	4.845943	0.044920	0.006279	0.003533	-0.000074
0.048611	0.003682	4.870290	0.046728	0.006175	0.003549	-0.000010
0.048611	0.004091	4.876986	0.048170	0.006204	0.003624	0.000037
0.048611	0.004500	4.876460	0.049315	0.006276	0.003724	0.000073
0.048611	0.004909	4.873822	0.050235	0.006356	0.003827	0.000100
0.048611	0.005318	4.870744	0.051038	0.006427	0.003929	0.000114
0.048611	0.005727	4.867670	0.051710	0.006486	0.004023	0.000116
0.048611	0.006136	4.864720	0.052251	0.006540	0.004112	0.000107
0.048611	0.006545	4.861885	0.052688	0.006598	0.004190	0.000093
0.048611	0.006954	4.859146	0.053001	0.006668	0.004260	0.000081
0.048611	0.007363	4.856506	0.053151	0.006747	0.004324	0.000072
0.048611	0.007772	4.853848	0.053056	0.006833	0.004384	0.000068
0.048611	0.008181	4.851226	0.052702	0.006922	0.004444	0.000066
0.048611	0.008591	4.848662	0.052123	0.007020	0.004504	0.000064
0.048611	0.009000	4.846210	0.051347	0.007125	0.004565	0.000061
0.048611	0.009409	4.843951	0.050445	0.007239	0.004631	0.000055
0.048611	0.009818	4.841931	0.049462	0.007355	0.004708	0.000045
0.048611	0.010227	4.840160	0.048419	0.007478	0.004798	0.000030
0.048611	0.010636	4.838641	0.047340	0.007605	0.004899	0.000012
0.048611	0.011045	4.837295	0.046223	0.007737	0.005004	-0.000004
0.048611	0.011454	4.836048	0.045028	0.007883	0.005112	-0.000013
0.048611	0.011863	4.834807	0.043688	0.008055	0.005226	-0.000011
0.048611	0.012272	4.833490	0.042199	0.008257	0.005353	-0.000003
0.048611	0.012681	4.832133	0.040543	0.008481	0.005501	0.000003
0.048611	0.013090	4.830816	0.038719	0.008703	0.005675	-0.000000
0.048611	0.013499	4.829547	0.036730	0.008913	0.005875	-0.000013
0.048611	0.013908	4.828417	0.034611	0.009100	0.006091	-0.000030
0.048611	0.014318	4.827462	0.032270	0.009262	0.006306	-0.000046
0.048611	0.014727	4.826720	0.029734	0.009396	0.006492	-0.000051
0.048611	0.015136	4.826148	0.027013	0.009497	0.006634	-0.000047
0.048611	0.015545	4.825712	0.024126	0.009574	0.006739	-0.000037
0.048611	0.015954	4.825360	0.021090	0.009639	0.006837	-0.000026
0.048611	0.016363	4.825097	0.018070	0.009715	0.006965	-0.000015
0.048611	0.016772	4.824844	0.015102	0.009819	0.007129	0.000006
0.048611	0.017181	4.824610	0.012299	0.009944	0.007310	0.000042
0.048611	0.017590	4.824384	0.009662	0.010083	0.007479	0.000091
0.048611	0.017999	4.824172	0.007212	0.010216	0.007617	0.000141
0.048611	0.018408	4.823939	0.004825	0.010341	0.007730	0.000178
0.048611	0.018817	4.823690	0.002373	0.010453	0.007831	0.000194
0.048611	0.019226	4.823451	-0.000256	0.010561	0.007942	0.000192
0.048611	0.019635	4.823272	-0.003044	0.010704	0.008089	0.000185
0.049020	0.000409	3.948364	0.050522	0.094691	0.014214	-0.002147
0.049020	0.000818	4.115016	0.046496	0.064804	0.010946	-0.001664
0.049020	0.001227	4.291227	0.043223	0.038753	0.007944	-0.001185
0.049020	0.001636	4.459559	0.041115	0.021805	0.005816	-0.000801
0.049020	0.002045	4.604851	0.040284	0.012483	0.004495	-0.000512
0.049020	0.002454	4.718153	0.040556	0.008170	0.003781	-0.000307
0.049020	0.002864	4.797841	0.041617	0.006510	0.003460	-0.000166
0.049020	0.003273	4.848181	0.043035	0.006002	0.003367	-0.000070
0.049020	0.003682	4.872799	0.044916	0.005898	0.003393	-0.000005
0.049020	0.004091	4.879716	0.046421	0.005915	0.003474	0.000043
0.049020	0.004500	4.879354	0.047615	0.005972	0.003578	0.000080
0.049020	0.004909	4.876834	0.048581	0.006036	0.003686	0.000106
0.049020	0.005318	4.873857	0.049414	0.006093	0.003790	0.000121
0.049020	0.005727	4.870876	0.050118	0.006140	0.003886	0.000123
0.049020	0.006136	4.868000	0.050683	0.006184	0.003975	0.000116
0.049020	0.006545	4.865231	0.051155	0.006233	0.004053	0.000104
0.049020	0.006954	4.862569	0.051519	0.006295	0.004122	0.000092
0.049020	0.007363	4.860022	0.051736	0.006367	0.004185	0.000083
0.049020	0.007772	4.857501	0.051730	0.006445	0.004244	0.000078
0.049020	0.008181	4.855048	0.051471	0.006527	0.004303	0.000076
0.049020	0.008591	4.852662	0.050992	0.006618	0.004362	0.000075
0.049020	0.009000	4.850379	0.050300	0.006714	0.004423	0.000073
0.049020	0.009409	4.848255	0.049455	0.006819	0.004489	0.000069
0.049020	0.009818	4.846316	0.048501	0.006924	0.004564	0.000062
0.049020	0.010227	4.844566	0.047461	0.007035	0.004649	0.000050
0.049020	0.010636	4.843015	0.046371	0.007147	0.004743	0.000035
0.049020	0.011045	4.841600	0.045228	0.007264	0.004841	0.000020
0.049020	0.011454	4.840272	0.044026	0.007393	0.004942	0.000011
0.049020	0.011863	4.838955	0.042688	0.007547	0.005048	0.000011
0.049020	0.012272	4.837582	0.041216	0.007728	0.005168	0.000017
