x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	4.236400	0.033624	0.075581	0.018122	0.000229
0.048202	0.000818	4.405957	0.034881	0.051420	0.013192	0.000171
0.048202	0.001227	4.581474	0.036505	0.030433	0.008801	0.000105
0.048202	0.001636	4.745287	0.038364	0.016846	0.005818	0.000039
0.048202	0.002045	4.883150	0.040274	0.009399	0.004041	-0.000020
0.048202	0.002454	4.987630	0.042052	0.005931	0.003087	-0.000064
0.048202	0.002864	5.058716	0.043603	0.004549	0.002604	-0.000089
0.048202	0.003273	5.101797	0.044861	0.004073	0.002361	-0.000095
0.048202	0.003682	5.119886	0.045904	0.003939	0.002234	-0.000088
0.048202	0.004091	5.122940	0.046590	0.003916	0.002168	-0.000081
0.048202	0.004500	5.120882	0.047045	0.003938	0.002137	-0.000080
0.048202	0.004909	5.117778	0.047334	0.003973	0.002124	-0.000084
0.048202	0.005318	5.114754	0.047456	0.004002	0.002120	-0.000092
0.048202	0.005727	5.112005	0.047366	0.004022	0.002124	-0.000104
0.048202	0.006136	5.109433	0.047089	0.004033	0.002134	-0.000118
0.048202	0.006545	5.106858	0.046609	0.004044	0.002151	-0.000136
0.048202	0.006954	5.104216	0.045946	0.004067	0.002176	-0.000157
0.048202	0.007363	5.101425	0.045127	0.004105	0.002202	-0.000181
0.048202	0.007772	5.098570	0.044147	0.004155	0.002228	-0.000206
0.048202	0.008181	5.095630	0.042984	0.004209	0.002251	-0.000230
0.048202	0.008591	5.092780	0.041695	0.004261	0.002274	-0.000248
0.048202	0.009000	5.090177	0.040251	0.004310	0.002304	-0.000261
0.048202	0.009409	5.087888	0.038686	0.004365	0.002348	-0.000269
0.048202	0.009818	5.085977	0.036993	0.004431	0.002405	-0.000273
0.048202	0.010227	5.084415	0.035242	0.004514	0.002468	-0.000277
0.048202	0.010636	5.083063	0.033477	0.004617	0.002528	-0.000283
0.048202	0.011045	5.081918	0.031706	0.004734	0.002585	-0.000294
0.048202	0.011454	5.080935	0.029916	0.004858	0.002642	-0.000310
0.048202	0.011863	5.079983	0.028098	0.004986	0.002707	-0.000331
0.048202	0.012272	5.079019	0.026236	0.005121	0.002790	-0.000352
0.048202	0.012681	5.077961	0.024293	0.005271	0.002890	-0.000366
0.048202	0.013090	5.076808	0.022264	0.005435	0.002998	-0.000375
0.048202	0.013499	5.075691	0.020125	0.005610	0.003110	-0.000380
0.048202	0.013908	5.074498	0.017856	0.005791	0.003229	-0.000389
0.048202	0.014318	5.073416	0.015462	0.005965	0.003360	-0.000402
0.048202	0.014727	5.072558	0.012954	0.006120	0.003506	-0.000417
0.048202	0.015136	5.071955	0.010347	0.006248	0.003660	-0.000430
0.048202	0.015545	5.071663	0.007630	0.006346	0.003814	-0.000434
0.048202	0.015954	5.071615	0.004781	0.006420	0.003963	-0.000429
0.048202	0.016363	5.071667	0.001874	0.006483	0.004104	-0.000416
0.048202	0.016772	5.071767	-0.001067	0.006545	0.004247	-0.000399
0.048202	0.017181	5.071914	-0.004063	0.006611	0.004397	-0.000386
0.048202	0.017590	5.071928	-0.007100	0.006679	0.004556	-0.000383
0.048202	0.017999	5.071970	-0.010184	0.006743	0.004722	-0.000391
0.048202	0.018408	5.072039	-0.013295	0.006804	0.004893	-0.000400
0.048202	0.018817	5.072268	-0.016426	0.006858	0.005063	-0.000404
0.048202	0.019226	5.072682	-0.019583	0.006912	0.005232	-0.000396
0.048202	0.019635	5.073185	-0.022679	0.006983	0.005396	-0.000376
0.048611	0.000409	4.260024	0.033821	0.072424	0.016839	0.000293
0.048611	0.000818	4.423655	0.034552	0.049284	0.012301	0.000206
0.048611	0.001227	4.593683	0.035665	0.029189	0.008251	0.000119
0.048611	0.001636	4.753001	0.037083	0.016182	0.005491	0.000043
0.048611	0.002045	4.887628	0.038669	0.009056	0.003840	-0.000019
