x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	2.542043	0.016688	0.036827	0.004543	0.000491
0.048202	0.000818	2.689559	0.018897	0.024992	0.003463	0.000342
0.048202	0.001227	2.845134	0.021349	0.014873	0.002467	0.000221
0.048202	0.001636	2.993633	0.023824	0.008494	0.001755	0.000151
0.048202	0.002045	3.121973	0.026093	0.005147	0.001303	0.000121
0.048202	0.002454	3.222446	0.028002	0.003700	0.001043	0.000112
0.048202	0.002864	3.293626	0.029483	0.003197	0.000901	0.000112
0.048202	0.003273	3.339125	0.030550	0.003064	0.000827	0.000113
0.048202	0.003682	3.361495	0.031264	0.003035	0.000786	0.000109
0.048202	0.004091	3.369002	0.031618	0.003026	0.000764	0.000102
0.048202	0.004500	3.370003	0.031725	0.003023	0.000753	0.000092
0.048202	0.004909	3.368860	0.031669	0.003024	0.000747	0.000083
0.048202	0.005318	3.367312	0.031444	0.003025	0.000744	0.000076
0.048202	0.005727	3.365878	0.031027	0.003025	0.000744	0.000074
0.048202	0.006136	3.364554	0.030426	0.003022	0.000746	0.000077
0.048202	0.006545	3.363251	0.029677	0.003019	0.000751	0.000084
0.048202	0.006954	3.361876	0.028799	0.003021	0.000758	0.000095
0.048202	0.007363	3.360381	0.027852	0.003031	0.000766	0.000106
0.048202	0.007772	3.358762	0.026856	0.003048	0.000775	0.000118
0.048202	0.008181	3.357030	0.025843	0.003075	0.000784	0.000127
0.048202	0.008591	3.355290	0.024831	0.003107	0.000792	0.000133
0.048202	0.009000	3.353673	0.023795	0.003144	0.000797	0.000138
0.048202	0.009409	3.352264	0.022727	0.003184	0.000801	0.000140
0.048202	0.009818	3.351107	0.021581	0.003225	0.000803	0.000142
0.048202	0.010227	3.350200	0.020323	0.003264	0.000806	0.000142
0.048202	0.010636	3.349449	0.018971	0.003306	0.000814	0.000142
0.048202	0.011045	3.348882	0.017516	0.003351	0.000828	0.000140
0.048202	0.011454	3.348448	0.015971	0.003401	0.000849	0.000139
0.048202	0.011863	3.348094	0.014346	0.003457	0.000878	0.000139
0.048202	0.012272	3.347741	0.012696	0.003516	0.000913	0.000140
0.048202	0.012681	3.347308	0.011021	0.003577	0.000956	0.000144
0.048202	0.013090	3.346822	0.009342	0.003640	0.001003	0.000150
0.048202	0.013499	3.346318	0.007667	0.003698	0.001052	0.000157
0.048202	0.013908	3.345779	0.005972	0.003750	0.001103	0.000161
0.048202	0.014318	3.345282	0.004229	0.003790	0.001154	0.000162
0.048202	0.014727	3.344900	0.002406	0.003820	0.001206	0.000159
