x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	1.283418	0.013588	0.008826	0.001287	0.000103
0.048202	0.000818	1.410145	0.015036	0.005902	0.001022	0.000057
0.048202	0.001227	1.546565	0.016795	0.003423	0.000779	0.000023
0.048202	0.001636	1.680282	0.018748	0.001878	0.000604	0.000007
0.048202	0.002045	1.799878	0.020740	0.001076	0.000487	0.000004
0.048202	0.002454	1.897639	0.022613	0.000736	0.000412	0.000005
0.048202	0.002864	1.970794	0.024255	0.000620	0.000364	0.000007
0.048202	0.003273	2.020926	0.025607	0.000594	0.000335	0.000008
0.048202	0.003682	2.049204	0.026685	0.000595	0.000318	0.000008
0.048202	0.004091	2.062972	0.027458	0.000603	0.000310	0.000009
0.048202	0.004500	2.068560	0.027986	0.000614	0.000308	0.000012
0.048202	0.004909	2.070179	0.028325	0.000626	0.000308	0.000014
0.048202	0.005318	2.070223	0.028513	0.000638	0.000308	0.000016
0.048202	0.005727	2.069813	0.028581	0.000649	0.000309	0.000017
0.048202	0.006136	2.069242	0.028553	0.000658	0.000311	0.000017
0.048202	0.006545	2.068578	0.028452	0.000668	0.000313	0.000016
0.048202	0.006954	2.067761	0.028303	0.000677	0.000315	0.000015
0.048202	0.007363	2.066726	0.028126	0.000686	0.000316	0.000015
0.048202	0.007772	2.065503	0.027918	0.000696	0.000317	0.000014
0.048202	0.008181	2.064132	0.027674	0.000707	0.000318	0.000013
0.048202	0.008591	2.062741	0.027381	0.000720	0.000320	0.000012
0.048202	0.009000	2.061476	0.027009	0.000733	0.000324	0.000012
0.048202	0.009409	2.060386	0.026538	0.000747	0.000329	0.000013
0.048202	0.009818	2.059494	0.025944	0.000760	0.000336	0.000015
0.048202	0.010227	2.058806	0.025242	0.000772	0.000343	0.000018
0.048202	0.010636	2.058240	0.024471	0.000784	0.000351	0.000021
0.048202	0.011045	2.057794	0.023634	0.000796	0.000360	0.000025
0.048202	0.011454	2.057456	0.022756	0.000810	0.000368	0.000027
0.048202	0.011863	2.057133	0.021864	0.000824	0.000377	0.000027
0.048202	0.012272	2.056780	0.020981	0.000840	0.000385	0.000026
0.048202	0.012681	2.056366	0.020119	0.000858	0.000394	0.000024
0.048202	0.013090	2.055886	0.019300	0.000878	0.000403	0.000021
0.048202	0.013499	2.055378	0.018487	0.000897	0.000416	0.000019
0.048202	0.013908	2.054814	0.017674	0.000917	0.000432	0.000017
0.048202	0.014318	2.054274	0.016843	0.000936	0.000452	0.000017
0.048202	0.014727	2.053821	0.015973	0.000956	0.000475	0.000018
0.048202	0.015136	2.053473	0.015065	0.000976	0.000498	0.000021
0.048202	0.015545	2.053259	0.014077	0.000996	0.000521	0.000026
0.048202	0.015954	2.053171	0.013007	0.001016	0.000541	0.000031
0.048202	0.016363	2.053107	0.011874	0.001034	0.000559	0.000037
0.048202	0.016772	2.053057	0.010724	0.001049	0.000576	0.000041
0.048202	0.017181	2.053041	0.009556	0.001063	0.000592	0.000044
0.048202	0.017590	2.052981	0.008386	0.001076	0.000608	0.000046
0.048202	0.017999	2.052970	0.007236	0.001089	0.000625	0.000047
0.048202	0.018408	2.053006	0.006077	0.001102	0.000642	0.000047
0.048202	0.018817	2.053111	0.004918	0.001117	0.000661	0.000048
0.048202	0.019226	2.053310	0.003739	0.001133	0.000680	0.000049
0.048202	0.019635	2.053537	0.002549	0.001154	0.000698	0.000051
0.048611	0.000409	1.292272	0.013501	0.008946	0.001224	0.000113
0.048611	0.000818	1.416513	0.014799	0.005965	0.000974	0.000064
0.048611	0.001227	1.550699	0.016405	0.003441	0.000744	0.000027
0.048611	0.001636	1.682683	0.018218	0.001870	0.000578	0.000010
0.048611	0.002045	1.801159	0.020094	0.001057	0.000467	0.000005
0.048611	0.002454	1.898385	0.021882	0.000712	0.000395	0.000006
0.048611	0.002864	1.971450	0.023468	0.000595	0.000350	0.000008
0.048611	0.003273	2.021764	0.024795	0.000568	0.000322	0.000009
0.048611	0.003682	2.050518	0.025875	0.000567	0.000306	0.000009
0.048611	0.004091	2.064654	0.026663	0.000573	0.000299	0.000010
0.048611	0.004500	2.070470	0.027218	0.000583	0.000297	0.000012
0.048611	0.004909	2.072177	0.027592	0.000593	0.000297	0.000015
0.048611	0.005318	2.072201	0.027817	0.000603	0.000297	0.000017
0.048611	0.005727	2.071693	0.027925	0.000613	0.000298	0.000018
0.048611	0.006136	2.071015	0.027933	0.000621	0.000300	0.000018
0.048611	0.006545	2.070273	0.027866	0.000630	0.000302	0.000017
0.048611	0.006954	2.069436	0.027746	0.000638	0.000304	0.000016
0.048611	0.007363	2.068460	0.027589	0.000647	0.000305	0.000016
0.048611	0.007772	2.067362	0.027396	0.000656	0.000305	0.000015
0.048611	0.008181	2.066168	0.027162	0.000666	0.000306	0.000015
0.048611	0.008591	2.064962	0.026875	0.000676	0.000308	0.000014
0.048611	0.009000	2.063848	0.026511	0.000689	0.000312	0.000014
0.048611	0.009409	2.062863	0.026049	0.000701	0.000317	0.000015
0.048611	0.009818	2.062024	0.025466	0.000712	0.000323	0.000017
0.048611	0.010227	2.061344	0.024779	0.000723	0.000331	0.000020
0.048611	0.010636	2.060768	0.024022	0.000734	0.000338	0.000023
0.048611	0.011045	2.060294	0.023200	0.000745	0.000346	0.000026
0.048611	0.011454	2.059913	0.022342	0.000757	0.000355	0.000028
0.048611	0.011863	2.059553	0.021471	0.000770	0.000363	0.000029
0.048611	0.012272	2.059173	0.020612	0.000784	0.000370	0.000028
0.048611	0.012681	2.058743	0.019777	0.000801	0.000378	0.000026
0.048611	0.013090	2.058249	0.018986	0.000819	0.000388	0.000023
0.048611	0.013499	2.057718	0.018203	0.000837	0.000400	0.000021
