x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	1.334741	0.009787	0.018015	0.008698	0.000481
0.048202	0.000818	1.481044	0.009884	0.012734	0.005561	0.000303
0.048202	0.001227	1.644036	0.010090	0.008094	0.003176	0.000154
0.048202	0.001636	1.809578	0.010365	0.005044	0.001904	0.000065
0.048202	0.002045	1.963085	0.010646	0.003334	0.001360	0.000026
0.048202	0.002454	2.093302	0.010876	0.002496	0.001171	0.000015
0.048202	0.002864	2.194507	0.010977	0.002116	0.001112	0.000017
0.048202	0.003273	2.266629	0.010939	0.001932	0.001092	0.000021
0.048202	0.003682	2.311370	0.010738	0.001823	0.001078	0.000024
0.048202	0.004091	2.334747	0.010364	0.001750	0.001073	0.000025
0.048202	0.004500	2.344989	0.009793	0.001706	0.001073	0.000026
0.048202	0.004909	2.348266	0.009199	0.001689	0.001077	0.000032
0.048202	0.005318	2.348334	0.008631	0.001698	0.001087	0.000045
0.048202	0.005727	2.347374	0.008109	0.001730	0.001108	0.000070
0.048202	0.006136	2.346161	0.007622	0.001779	0.001140	0.000103
0.048202	0.006545	2.344974	0.007182	0.001829	0.001171	0.000135
0.048202	0.006954	2.343897	0.006767	0.001861	0.001183	0.000151
0.048202	0.007363	2.342951	0.006297	0.001858	0.001164	0.000142
0.048202	0.007772	2.342107	0.005643	0.001822	0.001118	0.000114
0.048202	0.008181	2.341350	0.004751	0.001765	0.001061	0.000079
0.048202	0.008591	2.340606	0.003586	0.001705	0.001008	0.000048
0.048202	0.009000	2.339840	0.002197	0.001654	0.000968	0.000024
0.048202	0.009409	2.339045	0.000545	0.001614	0.000947	0.000007
0.048202	0.009818	2.338203	-0.001255	0.001586	0.000946	-0.000006
0.048202	0.010227	2.337250	-0.003177	0.001570	0.000964	-0.000015
0.048202	0.010636	2.336163	-0.005117	0.001562	0.000995	-0.000019
0.048202	0.011045	2.334866	-0.007014	0.001562	0.001027	-0.000021
0.048202	0.011454	2.333404	-0.008860	0.001567	0.001045	-0.000020
0.048202	0.011863	2.331886	-0.010670	0.001575	0.001042	-0.000019
0.048202	0.012272	2.330207	-0.012500	0.001584	0.001022	-0.000017
0.048202	0.012681	2.328446	-0.014342	0.001597	0.000998	-0.000017
0.048202	0.013090	2.326701	-0.016200	0.001616	0.000985	-0.000017
0.048202	0.013499	2.325173	-0.018132	0.001643	0.000987	-0.000018
0.048202	0.013908	2.324026	-0.020160	0.001676	0.001003	-0.000023
0.048202	0.014318	2.323142	-0.022237	0.001718	0.001024	-0.000030
0.048202	0.014727	2.322641	-0.024308	0.001769	0.001044	-0.000039
0.048202	0.015136	2.322299	-0.026335	0.001829	0.001063	-0.000048
0.048202	0.015545	2.321783	-0.028339	0.001890	0.001082	-0.000056
0.048202	0.015954	2.320972	-0.030367	0.001947	0.001102	-0.000062
0.048202	0.016363	2.319595	-0.032451	0.002000	0.001128	-0.000065
