x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	3.048517	0.014046	0.092837	0.040678	-0.000145
0.048202	0.000818	3.234179	0.012792	0.063405	0.025854	-0.000254
0.048202	0.001227	3.434425	0.011859	0.038422	0.014251	-0.000237
0.048202	0.001636	3.629713	0.011336	0.022824	0.007777	-0.000137
0.048202	0.002045	3.802060	0.011108	0.014759	0.004841	-0.000032
0.048202	0.002454	3.939750	0.010985	0.011380	0.003762	0.000051
0.048202	0.002864	4.039337	0.010806	0.010287	0.003419	0.000111
0.048202	0.003273	4.104492	0.010436	0.010050	0.003281	0.000151
0.048202	0.003682	4.140116	0.010131	0.010020	0.003169	0.000165
0.048202	0.004091	4.152647	0.009467	0.009972	0.003080	0.000161
0.048202	0.004500	4.155211	0.008749	0.009887	0.003017	0.000142
0.048202	0.004909	4.154298	0.008057	0.009777	0.002973	0.000117
0.048202	0.005318	4.152326	0.007488	0.009668	0.002936	0.000094
0.048202	0.005727	4.150208	0.006999	0.009575	0.002893	0.000080
0.048202	0.006136	4.148195	0.006501	0.009498	0.002841	0.000079
0.048202	0.006545	4.146436	0.005833	0.009430	0.002778	0.000091
0.048202	0.006954	4.144950	0.004852	0.009362	0.002722	0.000110
0.048202	0.007363	4.143714	0.003564	0.009288	0.002689	0.000126
0.048202	0.007772	4.142804	0.001926	0.009204	0.002676	0.000134
0.048202	0.008181	4.142207	-0.000025	0.009107	0.002677	0.000140
0.048202	0.008591	4.141798	-0.002152	0.009007	0.002676	0.000150
0.048202	0.009000	4.141488	-0.004432	0.008914	0.002669	0.000166
0.048202	0.009409	4.141256	-0.006657	0.008838	0.002656	0.000187
0.048202	0.009818	4.140997	-0.008827	0.008784	0.002652	0.000208
0.048202	0.010227	4.140811	-0.010956	0.008761	0.002662	0.000225
0.048202	0.010636	4.140680	-0.013018	0.008770	0.002689	0.000229
0.048202	0.011045	4.140568	-0.015052	0.008795	0.002724	0.000221
0.048202	0.011454	4.140560	-0.017084	0.008813	0.002748	0.000197
0.048202	0.011863	4.140644	-0.019067	0.008808	0.002748	0.000163
0.048202	0.012272	4.140841	-0.021047	0.008774	0.002728	0.000128
0.048202	0.012681	4.141126	-0.023106	0.008724	0.002708	0.000102
0.048202	0.013090	4.141386	-0.025264	0.008680	0.002709	0.000090
0.048202	0.013499	4.141588	-0.027593	0.008654	0.002744	0.000084
0.048202	0.013908	4.141775	-0.030149	0.008643	0.002810	0.000078
0.048202	0.014318	4.141907	-0.032992	0.008639	0.002893	0.000071
0.048202	0.014727	4.142004	-0.036193	0.008632	0.002981	0.000062
0.048202	0.015136	4.142078	-0.039671	0.008622	0.003064	0.000057
0.048202	0.015545	4.142081	-0.043309	0.008602	0.003140	0.000054
0.048202	0.015954	4.142041	-0.047088	0.008571	0.003208	0.000052
0.048202	0.016363	4.141963	-0.050924	0.008531	0.003275	0.000049
0.048202	0.016772	4.141740	-0.054796	0.008496	0.003347	0.000042
0.048202	0.017181	4.141369	-0.058691	0.008479	0.003435	0.000032
0.048202	0.017590	4.140865	-0.062687	0.008485	0.003538	0.000016
0.048202	0.017999	4.140299	-0.066881	0.008505	0.003648	-0.000001
0.048202	0.018408	4.139672	-0.071364	0.008526	0.003761	-0.000021
0.048202	0.018817	4.138996	-0.076184	0.008541	0.003873	-0.000043
0.048202	0.019226	4.138263	-0.081348	0.008558	0.003985	-0.000065
0.048202	0.019635	4.137595	-0.086767	0.008580	0.004089	-0.000083
0.048611	0.000409	3.040482	0.009233	0.089148	0.038063	0.000037
0.048611	0.000818	3.228036	0.008988	0.060929	0.024191	-0.000115
0.048611	0.001227	3.430201	0.009031	0.036983	0.013344	-0.000144
0.048611	0.001636	3.627256	0.009360	0.022044	0.007301	-0.000082
0.048611	0.002045	3.801102	0.009808	0.014328	0.004568	-0.000000
0.048611	0.002454	3.939969	0.010185	0.011101	0.003567	0.000068
0.048611	0.002864	4.040427	0.010346	0.010062	0.003250	0.000118
0.048611	0.003273	4.106216	0.010191	0.009838	0.003122	0.000153
