x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	2.086372	0.029589	0.036499	0.004893	-0.000595
0.048202	0.000818	2.249038	0.028527	0.024816	0.003802	-0.000454
0.048202	0.001227	2.421100	0.028022	0.014780	0.002823	-0.000338
0.048202	0.001636	2.586164	0.028176	0.008400	0.002145	-0.000257
0.048202	0.002045	2.730037	0.028915	0.005009	0.001730	-0.000189
0.048202	0.002454	2.843935	0.030018	0.003525	0.001502	-0.000120
0.048202	0.002864	2.925879	0.031269	0.003013	0.001394	-0.000048
0.048202	0.003273	2.979406	0.032410	0.002898	0.001360	0.000021
0.048202	0.003682	3.006617	0.033567	0.002905	0.001371	0.000078
0.048202	0.004091	3.017563	0.034253	0.002944	0.001410	0.000117
0.048202	0.004500	3.020759	0.034634	0.003002	0.001461	0.000137
0.048202	0.004909	3.021045	0.034794	0.003072	0.001516	0.000144
0.048202	0.005318	3.020651	0.034819	0.003145	0.001567	0.000140
0.048202	0.005727	3.020329	0.034746	0.003215	0.001615	0.000132
0.048202	0.006136	3.019906	0.034630	0.003272	0.001661	0.000123
0.048202	0.006545	3.019213	0.034494	0.003312	0.001705	0.000119
0.048202	0.006954	3.018025	0.034334	0.003335	0.001749	0.000119
0.048202	0.007363	3.016210	0.034131	0.003349	0.001791	0.000125
0.048202	0.007772	3.013930	0.033849	0.003362	0.001833	0.000136
0.048202	0.008181	3.011298	0.033439	0.003381	0.001876	0.000149
0.048202	0.008591	3.008663	0.032920	0.003407	0.001918	0.000162
0.048202	0.009000	3.006390	0.032205	0.003438	0.001960	0.000174
0.048202	0.009409	3.004550	0.031324	0.003472	0.002001	0.000185
0.048202	0.009818	3.003125	0.030266	0.003508	0.002043	0.000193
0.048202	0.010227	3.002045	0.029076	0.003551	0.002086	0.000200
0.048202	0.010636	3.001070	0.027796	0.003600	0.002133	0.000205
0.048202	0.011045	3.000135	0.026440	0.003655	0.002181	0.000207
0.048202	0.011454	2.999219	0.025033	0.003708	0.002231	0.000204
0.048202	0.011863	2.998245	0.023573	0.003754	0.002283	0.000198
0.048202	0.012272	2.997215	0.022089	0.003798	0.002338	0.000191
0.048202	0.012681	2.996144	0.020585	0.003849	0.002397	0.000185
0.048202	0.013090	2.995182	0.019051	0.003909	0.002463	0.000180
0.048202	0.013499	2.994408	0.017471	0.003985	0.002535	0.000178
0.048202	0.013908	2.993754	0.015849	0.004072	0.002611	0.000178
0.048202	0.014318	2.993299	0.014152	0.004162	0.002686	0.000185
0.048202	0.014727	2.993092	0.012398	0.004242	0.002757	0.000199
0.048202	0.015136	2.993026	0.010591	0.004303	0.002822	0.000219
0.048202	0.015545	2.993121	0.008723	0.004344	0.002884	0.000243
0.048202	0.015954	2.993258	0.006800	0.004377	0.002942	0.000268
0.048202	0.016363	2.993221	0.004899	0.004414	0.002999	0.000292
0.048202	0.016772	2.993041	0.002977	0.004462	0.003058	0.000313
0.048202	0.017181	2.992791	0.001053	0.004523	0.003119	0.000327
0.048202	0.017590	2.992440	-0.000867	0.004590	0.003184	0.000337
0.048202	0.017999	2.992190	-0.002809	0.004656	0.003253	0.000345
0.048202	0.018408	2.992084	-0.004779	0.004718	0.003324	0.000354
0.048202	0.018817	2.992329	-0.006782	0.004776	0.003396	0.000366
0.048202	0.019226	2.992815	-0.008821	0.004837	0.003467	0.000383
0.048202	0.019635	2.993468	-0.010787	0.004916	0.003540	0.000404
0.048611	0.000409	2.108229	0.029300	0.035454	0.004567	-0.000492
0.048611	0.000818	2.265503	0.028123	0.024099	0.003561	-0.000388
0.048611	0.001227	2.432618	0.027494	0.014340	0.002656	-0.000302
0.048611	0.001636	2.593689	0.027523	0.008131	0.002028	-0.000238
0.048611	0.002045	2.734736	0.028151	0.004827	0.001642	-0.000178
0.048611	0.002454	2.846953	0.029157	0.003379	0.001431	-0.000113
0.048611	0.002864	2.928110	0.030333	0.002878	0.001333	-0.000043
0.048611	0.003273	2.981417	0.031427	0.002765	0.001305	0.000025
0.048611	0.003682	3.009090	0.032560	0.002770	0.001319	0.000081
0.048611	0.004091	3.020354	0.033250	0.002804	0.001358	0.000119
0.048611	0.004500	3.023663	0.033651	0.002856	0.001411	0.000139
0.048611	0.004909	3.023888	0.033851	0.002917	0.001465	0.000145
0.048611	0.005318	3.023310	0.033922	0.002983	0.001516	0.000141
0.048611	0.005727	3.022719	0.033901	0.003044	0.001565	0.000134
0.048611	0.006136	3.022056	0.033827	0.003095	0.001611	0.000127
0.048611	0.006545	3.021203	0.033722	0.003130	0.001655	0.000123
0.048611	0.006954	3.019989	0.033579	0.003149	0.001699	0.000125
0.048611	0.007363	3.018314	0.033382	0.003161	0.001742	0.000132
0.048611	0.007772	3.016292	0.033102	0.003171	0.001784	0.000142
0.048611	0.008181	3.014007	0.032692	0.003187	0.001826	0.000156
0.048611	0.008591	3.011722	0.032176	0.003211	0.001867	0.000169
0.048611	0.009000	3.009711	0.031475	0.003238	0.001908	0.000181
0.048611	0.009409	3.008032	0.030614	0.003269	0.001949	0.000191
0.048611	0.009818	3.006670	0.029582	0.003302	0.001989	0.000200
0.048611	0.010227	3.005572	0.028421	0.003340	0.002031	0.000208
0.048611	0.010636	3.004551	0.027168	0.003383	0.002077	0.000214
0.048611	0.011045	3.003560	0.025837	0.003432	0.002124	0.000216
0.048611	0.011454	3.002588	0.024455	0.003478	0.002172	0.000214
0.048611	0.011863	3.001577	0.023026	0.003519	0.002222	0.000208
0.048611	0.012272	3.000540	0.021577	0.003560	0.002273	0.000202
0.048611	0.012681	2.999484	0.020111	0.003606	0.002330	0.000197
0.048611	0.013090	2.998533	0.018627	0.003661	0.002392	0.000193
0.048611	0.013499	2.997749	0.017102	0.003730	0.002460	0.000191
0.048611	0.013908	2.997079	0.015538	0.003809	0.002532	0.000193
0.048611	0.014318	2.996587	0.013901	0.003891	0.002604	0.000200
0.048611	0.014727	2.996304	0.012203	0.003964	0.002673	0.000214
0.048611	0.015136	2.996146	0.010445	0.004020	0.002737	0.000233
0.048611	0.015545	2.996124	0.008619	0.004059	0.002797	0.000255
0.048611	0.015954	2.996148	0.006730	0.004090	0.002855	0.000277
0.048611	0.016363	2.996046	0.004852	0.004124	0.002911	0.000298
0.048611	0.016772	2.995838	0.002950	0.004168	0.002967	0.000315
0.048611	0.017181	2.995581	0.001041	0.004223	0.003026	0.000327
