x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	4.475087	0.054977	0.126356	0.016259	-0.000833
0.048202	0.000818	4.690501	0.046261	0.086131	0.012780	-0.000607
0.048202	0.001227	4.916715	0.038320	0.051297	0.009486	-0.000387
0.048202	0.001636	5.131119	0.032008	0.028897	0.007033	-0.000204
0.048202	0.002045	5.314578	0.027707	0.016788	0.005379	-0.000060
0.048202	0.002454	5.456140	0.025319	0.011312	0.004340	0.000042
0.048202	0.002864	5.554450	0.024447	0.009235	0.003714	0.000101
0.048202	0.003273	5.615654	0.024511	0.008547	0.003349	0.000124
0.048202	0.003682	5.644351	0.025694	0.008274	0.003143	0.000123
0.048202	0.004091	5.651796	0.026577	0.008102	0.003037	0.000110
0.048202	0.004500	5.651283	0.027207	0.007979	0.002989	0.000100
0.048202	0.004909	5.649030	0.027609	0.007898	0.002977	0.000099
0.048202	0.005318	5.646984	0.027753	0.007850	0.002982	0.000107
0.048202	0.005727	5.645388	0.027677	0.007819	0.002991	0.000123
0.048202	0.006136	5.644004	0.027417	0.007793	0.002994	0.000140
0.048202	0.006545	5.642569	0.026989	0.007768	0.002991	0.000157
0.048202	0.006954	5.640933	0.026340	0.007737	0.002984	0.000168
0.048202	0.007363	5.638967	0.025509	0.007701	0.002982	0.000171
0.048202	0.007772	5.636827	0.024463	0.007661	0.002993	0.000168
0.048202	0.008181	5.634552	0.023183	0.007621	0.003017	0.000162
0.048202	0.008591	5.632330	0.021718	0.007586	0.003058	0.000157
0.048202	0.009000	5.630407	0.020032	0.007557	0.003115	0.000151
0.048202	0.009409	5.628835	0.018163	0.007540	0.003187	0.000147
0.048202	0.009818	5.627575	0.016143	0.007540	0.003275	0.000146
0.048202	0.010227	5.626579	0.013970	0.007568	0.003378	0.000153
0.048202	0.010636	5.625565	0.011705	0.007628	0.003496	0.000170
0.048202	0.011045	5.624525	0.009347	0.007722	0.003619	0.000192
0.048202	0.011454	5.623422	0.006869	0.007844	0.003742	0.000212
0.048202	0.011863	5.622145	0.004304	0.007984	0.003867	0.000222
0.048202	0.012272	5.620738	0.001685	0.008139	0.004000	0.000220
0.048202	0.012681	5.619235	-0.000982	0.008311	0.004151	0.000210
0.048202	0.013090	5.617839	-0.003641	0.008498	0.004323	0.000204
0.048202	0.013499	5.616767	-0.006309	0.008707	0.004518	0.000207
0.048202	0.013908	5.615927	-0.008911	0.008937	0.004741	0.000221
0.048202	0.014318	5.615576	-0.011460	0.009181	0.004989	0.000244
0.048202	0.014727	5.615632	-0.013940	0.009437	0.005258	0.000275
0.048202	0.015136	5.615994	-0.016394	0.009705	0.005534	0.000311
0.048202	0.015545	5.616578	-0.018873	0.009979	0.005812	0.000353
0.048202	0.015954	5.617138	-0.021454	0.010259	0.006096	0.000397
0.048202	0.016363	5.617376	-0.024187	0.010539	0.006400	0.000445
0.048202	0.016772	5.617306	-0.027068	0.010801	0.006735	0.000497
0.048202	0.017181	5.617137	-0.030196	0.011033	0.007106	0.000552
0.048202	0.017590	5.616680	-0.033572	0.011227	0.007508	0.000610
0.048202	0.017999	5.616392	-0.037231	0.011376	0.007934	0.000670
0.048202	0.018408	5.616342	-0.041165	0.011482	0.008374	0.000726
0.048202	0.018817	5.616665	-0.045274	0.011552	0.008810	0.000772
0.048202	0.019226	5.617418	-0.049506	0.011619	0.009230	0.000811
0.048202	0.019635	5.618344	-0.053665	0.011729	0.009605	0.000843
0.048611	0.000409	4.514394	0.053370	0.121722	0.015266	-0.000667
0.048611	0.000818	4.720323	0.044651	0.082924	0.012005	-0.000487
0.048611	0.001227	4.937688	0.036695	0.049353	0.008921	-0.000311
0.048611	0.001636	5.144772	0.030351	0.027800	0.006627	-0.000160
0.048611	0.002045	5.322897	0.026015	0.016180	0.005085	-0.000038
0.048611	0.002454	5.461111	0.023592	0.010950	0.004120	0.000050
0.048611	0.002864	5.557702	0.022698	0.008984	0.003543	0.000103
0.048611	0.003273	5.618292	0.022771	0.008345	0.003208	0.000125
0.048611	0.003682	5.647654	0.023986	0.008094	0.003020	0.000124
0.048611	0.004091	5.655636	0.024942	0.007933	0.002923	0.000113
0.048611	0.004500	5.655467	0.025668	0.007817	0.002879	0.000104
0.048611	0.004909	5.653352	0.026178	0.007740	0.002867	0.000103
0.048611	0.005318	5.651251	0.026426	0.007696	0.002871	0.000110
0.048611	0.005727	5.649443	0.026430	0.007666	0.002879	0.000125
0.048611	0.006136	5.647793	0.026216	0.007641	0.002884	0.000140
0.048611	0.006545	5.646130	0.025799	0.007614	0.002884	0.000155
0.048611	0.006954	5.644368	0.025149	0.007581	0.002880	0.000165
0.048611	0.007363	5.642409	0.024310	0.007543	0.002881	0.000167
0.048611	0.007772	5.640372	0.023281	0.007502	0.002893	0.000164
0.048611	0.008181	5.638280	0.022047	0.007463	0.002919	0.000159
0.048611	0.008591	5.636262	0.020652	0.007429	0.002960	0.000155
0.048611	0.009000	5.634488	0.019067	0.007403	0.003017	0.000151
0.048611	0.009409	5.633009	0.017309	0.007389	0.003089	0.000148
0.048611	0.009818	5.631802	0.015391	0.007391	0.003177	0.000149
0.048611	0.010227	5.630842	0.013294	0.007420	0.003279	0.000157
0.048611	0.010636	5.629928	0.011074	0.007476	0.003395	0.000174
0.048611	0.011045	5.629040	0.008735	0.007563	0.003517	0.000196
0.048611	0.011454	5.628134	0.006268	0.007675	0.003639	0.000215
0.048611	0.011863	5.627112	0.003736	0.007802	0.003763	0.000225
0.048611	0.012272	5.625990	0.001173	0.007942	0.003894	0.000225
0.048611	0.012681	5.624779	-0.001405	0.008096	0.004041	0.000218
0.048611	0.013090	5.623615	-0.003935	0.008266	0.004208	0.000215
0.048611	0.013499	5.622660	-0.006449	0.008456	0.004398	0.000220
0.048611	0.013908	5.621854	-0.008887	0.008668	0.004617	0.000234
0.048611	0.014318	5.621406	-0.011293	0.008896	0.004861	0.000257
0.048611	0.014727	5.621250	-0.013673	0.009137	0.005126	0.000286
0.048611	0.015136	5.621329	-0.016078	0.009391	0.005398	0.000318
0.048611	0.015545	5.621589	-0.018563	0.009648	0.005672	0.000355
0.048611	0.015954	5.621864	-0.021188	0.009909	0.005952	0.000393
0.048611	0.016363	5.621944	-0.023996	0.010168	0.006250	0.000437
0.048611	0.016772	5.621825	-0.026947	0.010409	0.006578	0.000485
0.048611	0.017181	5.621650	-0.030124	0.010622	0.006942	0.000539
0.048611	0.017590	5.621277	-0.033496	0.010801	0.007338	0.000596
0.048611	0.017999	5.621044	-0.037079	0.010943	0.007757	0.000655
0.048611	0.018408	5.621003	-0.040870	0.011046	0.008190	0.000710
0.048611	0.018817	5.621249	-0.044767	0.011122	0.008618	0.000757
0.048611	0.019226	5.621854	-0.048742	0.011197	0.009032	0.000796
0.048611	0.019635	5.622634	-0.052619	0.011311	0.009401	0.000828
0.049020	0.000409	4.545819	0.052007	0.116886	0.014235	-0.000505
0.049020	0.000818	4.744056	0.043204	0.079583	0.011204	-0.000370
0.049020	0.001227	4.954286	0.035162	0.047335	0.008339	-0.000235
0.049020	0.001636	5.155522	0.028730	0.026665	0.006210	-0.000117
0.049020	0.002045	5.329446	0.024321	0.015552	0.004783	-0.000017
0.049020	0.002454	5.465090	0.021846	0.010577	0.003895	0.000058
0.049020	0.002864	5.560438	0.020922	0.008725	0.003368	0.000105
0.049020	0.003273	5.620668	0.021001	0.008134	0.003063	0.000124
0.049020	0.003682	5.650699	0.022253	0.007908	0.002894	0.000125
0.049020	0.004091	5.659217	0.023279	0.007759	0.002805	0.000115
0.049020	0.004500	5.659401	0.024091	0.007651	0.002764	0.000108
0.049020	0.004909	5.657457	0.024694	0.007578	0.002753	0.000107
0.049020	0.005318	5.655364	0.025027	0.007536	0.002757	0.000114
0.049020	0.005727	5.653426	0.025092	0.007508	0.002765	0.000127
0.049020	0.006136	5.651594	0.024907	0.007484	0.002771	0.000141
0.049020	0.006545	5.649774	0.024491	0.007456	0.002773	0.000154
0.049020	0.006954	5.647929	0.023836	0.007422	0.002773	0.000163
0.049020	0.007363	5.645992	0.022993	0.007383	0.002777	0.000164
0.049020	0.007772	5.644047	0.021986	0.007341	0.002791	0.000161
0.049020	0.008181	5.642106	0.020812	0.007302	0.002818	0.000156
0.049020	0.008591	5.640254	0.019503	0.007269	0.002859	0.000152
0.049020	0.009000	5.638600	0.018034	0.007246	0.002917	0.000149
0.049020	0.009409	5.637191	0.016404	0.007236	0.002989	0.000149
0.049020	0.009818	5.636022	0.014605	0.007240	0.003076	0.000152
0.049020	0.010227	5.635090	0.012604	0.007269	0.003178	0.000161
0.049020	0.010636	5.634261	0.010449	0.007322	0.003292	0.000178
0.049020	0.011045	5.633508	0.008150	0.007401	0.003413	0.000199
0.049020	0.011454	5.632782	0.005718	0.007503	0.003534	0.000218
0.049020	0.011863	5.631996	0.003241	0.007617	0.003657	0.000229
0.049020	0.012272	5.631146	0.000756	0.007741	0.003785	0.000231
0.049020	0.012681	5.630220	-0.001713	0.007878	0.003928	0.000227
0.049020	0.013090	5.629294	-0.004102	0.008029	0.004089	0.000226
0.049020	0.013499	5.628479	-0.006460	0.008200	0.004274	0.000234
0.049020	0.013908	5.627741	-0.008743	0.008393	0.004488	0.000249
0.049020	0.014318	5.627235	-0.011025	0.008605	0.004728	0.000270
0.049020	0.014727	5.626914	-0.013334	0.008831	0.004989	0.000297
0.049020	0.015136	5.626751	-0.015722	0.009069	0.005257	0.000324
0.049020	0.015545	5.626719	-0.018246	0.009311	0.005527	0.000356
0.049020	0.015954	5.626726	-0.020940	0.009552	0.005802	0.000390
0.049020	0.016363	5.626642	-0.023834	0.009789	0.006095	0.000428
0.049020	0.016772	5.626452	-0.026856	0.010008	0.006416	0.000473
0.049020	0.017181	5.626255	-0.030064	0.010202	0.006773	0.000525
0.049020	0.017590	5.625950	-0.033399	0.010368	0.007162	0.000581
0.049020	0.017999	5.625779	-0.036864	0.010501	0.007574	0.000640
0.049020	0.018408	5.625781	-0.040461	0.010604	0.008000	0.000695
0.049020	0.018817	5.626022	-0.044093	0.010685	0.008421	0.000741
0.049020	0.019226	5.626577	-0.047764	0.010769	0.008828	0.000780
0.049020	0.019635	5.627319	-0.051321	0.010888	0.009192	0.000812
0.049429	0.000409	4.566306	0.050649	0.111988	0.013202	-0.000357
0.049429	0.000818	4.759341	0.041775	0.076208	0.010404	-0.000261
0.049429	0.001227	4.964815	0.033663	0.045305	0.007759	-0.000164
0.049429	0.001636	5.162236	0.027161	0.025528	0.005797	-0.000076
0.049429	0.002045	5.333515	0.022696	0.014926	0.004485	0.000002
0.049429	0.002454	5.467649	0.020183	0.010204	0.003672	0.000064
0.049429	0.002864	5.562390	0.019242	0.008466	0.003193	0.000105
0.049429	0.003273	5.622592	0.019333	0.007924	0.002920	0.000123
0.049429	0.003682	5.653273	0.020621	0.007720	0.002767	0.000125
0.049429	0.004091	5.662307	0.021706	0.007585	0.002687	0.000117
