x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	4.488778	0.006042	0.183719	0.064103	0.000491
0.048202	0.000818	4.687972	0.005925	0.122052	0.040857	0.000173
0.048202	0.001227	4.904568	0.006068	0.069571	0.022568	0.000013
0.048202	0.001636	5.116853	0.006525	0.036505	0.012262	0.000002
0.048202	0.002045	5.304391	0.007070	0.018952	0.007498	0.000046
0.048202	0.002454	5.453797	0.007559	0.011105	0.005686	0.000079
0.048202	0.002864	5.561097	0.007899	0.008116	0.005090	0.000085
0.048202	0.003273	5.630486	0.008008	0.007110	0.004885	0.000079
0.048202	0.003682	5.669028	0.008098	0.006751	0.004765	0.000069
0.048202	0.004091	5.681196	0.007848	0.006574	0.004693	0.000067
0.048202	0.004500	5.682701	0.007321	0.006493	0.004657	0.000071
0.048202	0.004909	5.681645	0.006705	0.006470	0.004629	0.000081
0.048202	0.005318	5.680013	0.006078	0.006466	0.004594	0.000096
0.048202	0.005727	5.678247	0.005333	0.006472	0.004543	0.000113
0.048202	0.006136	5.676463	0.004435	0.006491	0.004483	0.000124
0.048202	0.006545	5.674580	0.003397	0.006508	0.004415	0.000131
0.048202	0.006954	5.672678	0.002111	0.006521	0.004343	0.000135
0.048202	0.007363	5.670754	0.000650	0.006523	0.004277	0.000139
0.048202	0.007772	5.668768	-0.001012	0.006503	0.004226	0.000143
0.048202	0.008181	5.666777	-0.002887	0.006475	0.004199	0.000145
0.048202	0.008591	5.664745	-0.004947	0.006445	0.004194	0.000142
0.048202	0.009000	5.662605	-0.007323	0.006407	0.004197	0.000137
0.048202	0.009409	5.660298	-0.009875	0.006355	0.004198	0.000140
0.048202	0.009818	5.657870	-0.012544	0.006283	0.004210	0.000154
0.048202	0.010227	5.655319	-0.015433	0.006203	0.004251	0.000171
0.048202	0.010636	5.652617	-0.018557	0.006133	0.004324	0.000187
0.048202	0.011045	5.649747	-0.021793	0.006093	0.004417	0.000197
0.048202	0.011454	5.646763	-0.025113	0.006078	0.004488	0.000199
0.048202	0.011863	5.643700	-0.028519	0.006078	0.004519	0.000199
0.048202	0.012272	5.640627	-0.031978	0.006082	0.004517	0.000199
0.048202	0.012681	5.637620	-0.035479	0.006082	0.004510	0.000202
0.048202	0.013090	5.634662	-0.039096	0.006087	0.004532	0.000211
0.048202	0.013499	5.631739	-0.042901	0.006108	0.004598	0.000226
0.048202	0.013908	5.628872	-0.046899	0.006154	0.004709	0.000241
0.048202	0.014318	5.626068	-0.051075	0.006234	0.004851	0.000255
0.048202	0.014727	5.623394	-0.055564	0.006338	0.004997	0.000272
0.048202	0.015136	5.620852	-0.060351	0.006446	0.005133	0.000283
0.048202	0.015545	5.618540	-0.065347	0.006534	0.005251	0.000288
0.048202	0.015954	5.616494	-0.070503	0.006579	0.005358	0.000285
0.048202	0.016363	5.614737	-0.075820	0.006578	0.005470	0.000277
0.048202	0.016772	5.613303	-0.081267	0.006551	0.005594	0.000269
0.048202	0.017181	5.612213	-0.086814	0.006518	0.005739	0.000273
0.048202	0.017590	5.611381	-0.092487	0.006496	0.005904	0.000298
