x	 y	 U	 V	 t11	 t22	 t12
0.048202	0.000409	3.415371	0.026554	0.056669	0.011139	-0.000716
0.048202	0.000818	3.580822	0.027819	0.038186	0.008160	-0.000441
0.048202	0.001227	3.753220	0.029499	0.022237	0.005506	-0.000203
0.048202	0.001636	3.915450	0.031467	0.012021	0.003700	-0.000051
0.048202	0.002045	4.053354	0.033516	0.006511	0.002621	0.000024
0.048202	0.002454	4.159158	0.035444	0.004008	0.002042	0.000048
0.048202	0.002864	4.232263	0.037117	0.003050	0.001752	0.000045
0.048202	0.003273	4.277497	0.038463	0.002742	0.001611	0.000034
0.048202	0.003682	4.297745	0.039561	0.002662	0.001536	0.000023
0.048202	0.004091	4.302714	0.040266	0.002654	0.001493	0.000016
0.048202	0.004500	4.301846	0.040698	0.002676	0.001467	0.000012
0.048202	0.004909	4.299529	0.040923	0.002711	0.001450	0.000012
0.048202	0.005318	4.297146	0.040993	0.002748	0.001438	0.000016
0.048202	0.005727	4.295027	0.040888	0.002786	0.001430	0.000024
0.048202	0.006136	4.293056	0.040601	0.002826	0.001424	0.000034
0.048202	0.006545	4.291117	0.040106	0.002871	0.001422	0.000044
0.048202	0.006954	4.289097	0.039442	0.002923	0.001424	0.000050
0.048202	0.007363	4.286944	0.038641	0.002985	0.001431	0.000051
0.048202	0.007772	4.284683	0.037691	0.003057	0.001440	0.000047
0.048202	0.008181	4.282381	0.036606	0.003134	0.001451	0.000040
0.048202	0.008591	4.280183	0.035411	0.003207	0.001465	0.000038
0.048202	0.009000	4.278234	0.034121	0.003267	0.001483	0.000042
0.048202	0.009409	4.276583	0.032771	0.003308	0.001504	0.000054
0.048202	0.009818	4.275238	0.031337	0.003335	0.001531	0.000069
0.048202	0.010227	4.274117	0.029864	0.003357	0.001563	0.000085
0.048202	0.010636	4.273099	0.028367	0.003385	0.001600	0.000098
0.048202	0.011045	4.272180	0.026822	0.003428	0.001641	0.000106
0.048202	0.011454	4.271332	0.025230	0.003486	0.001685	0.000109
0.048202	0.011863	4.270514	0.023556	0.003560	0.001731	0.000107
0.048202	0.012272	4.269699	0.021786	0.003650	0.001783	0.000101
0.048202	0.012681	4.268874	0.019912	0.003754	0.001845	0.000096
0.048202	0.013090	4.268130	0.017954	0.003866	0.001920	0.000092
0.048202	0.013499	4.267488	0.015928	0.003984	0.002010	0.000089
0.048202	0.013908	4.266857	0.013863	0.004099	0.002114	0.000087
0.048202	0.014318	4.266276	0.011743	0.004208	0.002226	0.000081
